Replicate	Sites Masked (%)	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
80	30	0.5	2	8	9	0.111111111	9	1.1
80	40	13	-58929	4	6	1.428571429	7	1.2
80	50	15.5	-63210	2	4	1.666666667	6	1.1
81	10	1.5	4	9	9	0.2	10	1.1
81	20	1.5	4	8	10	0.2	10	1.1
81	30	4	-63533	5	7	0.285714286	7	1
81	40	5.5	-63526	5	10	1.2	10	1
81	50	9.5	-63521	2	8	1.222222222	9	1
82	10	4	4	7	9	0.333333333	9	1.1
82	20	5.5	7	7	9	0.6	10	1.1
82	30	6.5	8	7	8	0.666666667	9	1.1
82	40	11.5	13	5	8	1.222222222	9	1.3
82	50	9.5	13	5	9	1.2	10	1
83	10	2.5	4	7	10	0.3	10	1
83	20	6	13	7	9	0.7	10	1.2
83	30	9	16	3	9	1	10	1.2
83	40	8.5	10	4	10	0.9	10	1
83	50	7	10	6	9	0.8	10	1.1
84	10	4.5	6	7	10	0.5	10	1
84	20	3.5	5	8	10	0.4	10	1
84	30	6	-60604	6	9	0.555555556	9	1.3
84	40	7.5	-58941	5	8	0.777777778	9	1.2
84	50	12.5	-58976	5	8	1.333333333	9	1.5
85	10	1.5	3	8	10	0.2	10	1.1
85	20	1	1	9	9	0	9	1.2
85	30	12	15	5	7	1.333333333	9	1.3
85	40	7	11	6	9	1	10	1.3
85	50	8	11	7	8	0.888888889	9	1.1
86	10	0	0	10	10	0	10	1.4
86	20	4	4	8	10	0.4	10	1.4
86	30	9	12	7	9	1	10	1.1
86	40	4.5	6	7	10	0.5	10	1.5
86	50	15	-59793	4	8	1.7	10	1.3
87	10	3	3	6	9	0.333333333	9	1.1
87	20	4.5	10	6	8	0.555555556	9	1.2
87	30	3	3	6	9	0.333333333	9	1.1
87	40	9	16	4	7	1.111111111	9	1.2
87	50	13.5	16	4	8	1.666666667	9	1.2
88	10	4	4	8	10	0.4	10	1.5
88	20	3	6	7	9	0.4	10	1
88	30	2.5	4	7	10	0.3	10	1.1
88	40	5.5	8	7	8	0.6	10	1.3
88	50	10.5	13	5	9	1.2	10	1.4
89	10	1	1	9	10	0.1	10	1
89	20	3	3	7	10	0.3	10	1
89	30	2	2	8	10	0.2	10	1
89	40	14.5	-63521	6	8	1.6	10	1.7
89	50	12.5	-59944	4	6	1.444444444	9	1.4
90	10	1.5	3	9	10	0.2	10	1
90	20	3	4	8	10	0.4	10	1.3
90	30	7.5	9	7	9	0.8	10	1.2
90	40	21.5	29	1	7	2.6	10	1.5
90	50	16.5	25	1	8	2.2	10	1.2
