Replicate	Systematic Errors	Sites	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
27	7	1	2	5	6	10	0.5	10	1.1
27	7	2	15.5	37	3	10	3.7	10	1.2
27	8	1	4.5	14	6	10	1.4	10	1.1
27	8	2	19	48	2	10	4.8	10	1.4
27	9	1	4.5	14	6	10	1.4	10	1.2
27	9	2	17.5	88	2	10	6.428571429	10	1.2
27	10	1	7	22	5	10	2.2	10	1.2
27	10	2	25.5	125	0	10	9.4	10	1.4
28	1	1	0	0	9	9	0	9	1
28	1	2	8	20	2	9	2.111111111	9	1
28	2	1	0	0	9	9	0	9	1
28	2	2	8	20	2	9	2.111111111	9	1
28	3	1	0	0	9	9	0	9	1
28	3	2	8	20	2	9	2.111111111	9	1
28	4	1	0	0	9	9	0	9	1
28	4	2	8	20	2	9	2.111111111	9	1
28	5	1	0	0	9	9	0	9	1
28	5	2	8	20	2	9	2.111111111	9	1
28	6	1	1	2	7	9	0.333333333	9	1.3
28	6	2	8	20	2	9	2.111111111	9	1
28	7	1	1.5	3	7	9	0.333333333	9	1.1
28	7	2	8	20	2	9	2.111111111	9	1
28	8	1	1.5	3	7	9	0.333333333	9	1.3
28	8	2	10.5	27	1	9	2.888888889	9	1.4
28	9	1	4.5	15	4	9	1.555555556	9	1.2
28	9	2	14	54	1	9	5.888888889	9	1.4
28	10	1	8	20	2	9	2.111111111	9	1
28	10	2	22	-59442	0	9	10.33333333	9	1.2
29	1	1	3	3	8	9	0.3	10	1.4
29	1	2	11	33	2	10	3.3	10	1.3
29	2	1	3	3	8	9	0.3	10	1.4
29	2	2	11	33	2	10	3.3	10	1.3
29	3	1	3	3	8	9	0.3	10	1.6
29	3	2	11	33	2	10	3.3	10	1.3
